,Sentence,Tags,Extracted Sentences,Extracted Tags
184,I want to meditate with katie to help reduce her stress and anxiousness. Today she seemed so worked up all day I couldn’t do anything to calm her down,anxiety,"['katie', 'katie to help reduce her stress and anxiousness.', 'today she seemed so worked up', 'stress and anxiousness.', 'today she seemed so worked up all day']","{'anxiety': 0.6420838832855225, 'mood change': 0.4321305751800537, 'racing heart': 0.22241272032260895, 'lack of concentration': 0.1131904125213623, 'hiccups': 0.11171697080135345}"
394,last night was the first night charlie spent at home discharged from the hospital after his concussion. His eyes were dilated at times but apart from that he seemed ok,dilated pupils,"['concussion.', 'his eyes were dilated at times', 'his eyes were dilated at times but apart from that he seemed ok', 'his eyes were dilated']","{'dilated pupils': 0.853017270565033, 'congestion': 0.10971556603908539}"
188,I feel like I cant control my stress. This morning out of the blue I got so stressed and it took hours to feel normal again,anxiety,"['it took hours to feel normal', 'it took hours to feel normal again', 'this morning out of the blue i got so stressed', 'out of the blue i got so stressed', 'stress.']","{'mood change': 0.4935044050216675, 'fatigue': 0.17435000836849213, 'hiccups': 0.1249605193734169}"
161,sophie had her first period today and thankfully her cramps were only mild,,"['her cramps were only mild', 'her cramps', 'cramps', 'sophie had her first period today and thankfully her cramps']","{'body pain': 0.8077035546302795, 'bleeding': 0.6289201378822327, 'hiccups': 0.23474979400634766, 'headache': 0.1631525307893753, 'congestion': 0.155989408493042}"
337,I just bought fucidin cream to apply for this rash tom has. I hope it goes away fast because hes been itching all day,skin rash,"['itching', 'tom', 'hes been itching all day', 'rash tom', 'hes been itching', 'rash tom has. i hope it goes away fast', 'rash tom has.']","{'sore throat': 0.3681640923023224, 'hiccups': 0.2838224768638611, 'body pain': 0.28263622522354126, 'racing heart': 0.22978289425373077, 'skin rash': 0.22102633118629456, 'mood change': 0.12082690745592117, 'appetite change': 0.11932791769504547}"
248,I slept amazingly well yesterday but I woke up with a terrible cough,cough,"['terrible cough', 'i woke up with a terrible cough', 'amazingly well yesterday', 'yesterday']","{'cough': 0.4177912473678589, 'hiccups': 0.2709760367870331, 'sore throat': 0.2247435748577118, 'mood change': 0.2109093964099884, 'dilated pupils': 0.14995287358760834, 'racing heart': 0.12508362531661987, 'congestion': 0.12043138593435287}"
56,"When I wake up hung over or with a wine headache, I feel awful because
I just gave myself [a migraine], and it could have been avoided",headache,"['awful', 'it could have been avoided', 'wine headache,', 'when i wake up hung over or with a wine headache,', 'wine']","{'headache': 0.7154602408409119, 'hiccups': 0.2557501196861267, 'body pain': 0.2035783976316452, 'mood change': 0.1821461319923401, 'appetite change': 0.1607164740562439, 'poor coordination': 0.11603738367557526, 'fatigue': 0.10658794641494751, 'dilated pupils': 0.10043466836214066}"
211,Lily started having a panic attack before we took her to the doctor today. She started hyperventilating and couldn’t breathe properly,anxiety,"['panic attack', 'she started hyperventilating and couldn’t breathe properly', 'couldn’t breathe properly', 'she started hyperventilating', 'hyperventilating']","{'racing heart': 0.7847858667373657, 'poor coordination': 0.1917169690132141, 'congestion': 0.16820472478866577, 'hiccups': 0.14448872208595276, 'body pain': 0.1286211758852005, 'anxiety': 0.11143539100885391}"
121,I have sinus pain and painful swelling in my face around my eyes and my head hurts from the sinus infection,"congestion, headache, body pain","['i have sinus pain and painful swelling in my face around my eyes', 'sinus', 'my head hurts from the sinus infection', 'sinus pain and painful swelling', 'painful swelling in my face around my eyes', 'sinus pain and painful swelling in my face around my eyes']","{'body pain': 0.6552749872207642, 'headache': 0.4482785761356354, 'congestion': 0.4026887118816376, 'dilated pupils': 0.22435399889945984, 'bleeding': 0.20919334888458252, 'sore throat': 0.18394526839256287}"
359,"toms had hiccups every day this week. Sometimes is one hiccup a day, sometimes 10, but they've been every day",hiccups,"[""they've been every day"", 'hiccups', 'toms had hiccups']","{'hiccups': 0.4208734333515167, 'cough': 0.24828676879405975, 'fatigue': 0.10953127592802048, 'dilated pupils': 0.10594253987073898}"
287,my colds getting worse and now my sore is becoming sore too,sore throat,"['my colds getting worse and now my sore is becoming sore too', 'colds getting worse and now my sore is becoming sore too', 'colds getting worse and now my sore is becoming sore', 'sore is becoming sore', 'sore is becoming sore too', 'my sore is becoming sore too', 'sore']","{'body pain': 0.8127396702766418, 'fatigue': 0.2691263258457184, 'congestion': 0.19574858248233795, 'skin rash': 0.17145046591758728, 'cough': 0.16773587465286255, 'mood change': 0.13765546679496765, 'sore throat': 0.10634046792984009}"
293,"im feeling really tired and cold, I think I have a fever","fever, fatigue","['i have a fever', 'a fever', 'fever']","{'fever': 0.4216552674770355, 'racing heart': 0.3240244686603546, 'mood change': 0.19581390917301178}"
144,this month I feel like my period cramps are especially terrible,body pain,['period cramps'],"{'body pain': 0.5819080471992493, 'bleeding': 0.21736031770706177, 'hiccups': 0.10384637117385864}"
112,"My sinus headache occurs suddenly with pain above left eye,
top of head and back of neck, and the right eye swells also","body pain, headache","['right eye swells', 'my sinus headache', 'pain above left eye, top of head and back of neck,', 'the right eye swells', 'above left eye,']","{'body pain': 0.7454034090042114, 'headache': 0.39800897240638733, 'dilated pupils': 0.3955935835838318, 'congestion': 0.2973061501979828, 'bleeding': 0.24855977296829224}"
218,"recently at work ive been getting so anxious that my chest gets tight, I choke up and I cant speak properly",anxiety,"['recently at work ive been getting so anxious', 'my chest gets tight, i choke up and i cant speak properly', 'my chest gets tight,', 'anxious', 'my chest gets tight, i choke up']","{'anxiety': 0.6041660308837891, 'body pain': 0.29750537872314453, 'racing heart': 0.24879378080368042, 'hiccups': 0.21895267069339752, 'mood change': 0.1940200924873352, 'cough': 0.18058960139751434, 'sore throat': 0.16124731302261353, 'poor coordination': 0.1105608344078064}"
19,I was vomitng earlier today but it actually made me feel good and light after - a lot of people think that vomitting is something bad but I feel much better after I vomit,vomiting,"['vomitng earlier today but it actually made me feel good and light after', 'it actually made me feel good and light after', 'vomitting', 'vomitng', 'vomitng earlier today', 'earlier today']","{'mood change': 0.7945066690444946, 'vomiting': 0.672817587852478, 'appetite change': 0.31162577867507935}"
219,I ran for one mile yesterday and at the end I was so out of breath and started to experience this pain in my chest,body pain,"['out of breath and started to experience this pain in my chest', 'one mile yesterday', 'out of breath', 'pain in my chest', 'chest']","{'body pain': 0.8721137046813965, 'hiccups': 0.3275779187679291, 'fatigue': 0.253459095954895, 'racing heart': 0.2172360122203827}"
303,"Today we just went on a 5 minute walk and all of the sudden lily's heart rate spiked so much.
I'm not sure what could have caused it but we took her inside, cooled her down and thankfully it settled",racing heart,"['we took her inside,', ""lily's heart rate spiked so much."", 'we took her inside, cooled her down', ""lily's heart rate""]","{'racing heart': 0.8755936026573181, 'mood change': 0.44998615980148315}"
100,"My kid got serious constipation. After seeing the doctor she is relieved a bit, but
not for a long time",,"['not for a long time', 'after seeing the doctor she is relieved a bit,', 'my kid got serious constipation.', 'serious constipation.']","{'mood change': 0.6229990720748901, 'body pain': 0.4908798336982727, 'congestion': 0.3735653758049011, 'hiccups': 0.12184087932109833}"
192,mine and jack's relationship is falling apart and ive been crying all morning. Im behind at work now and stressed and i don’t know what to do,"anxiety, mood change","['stressed', ""mine and jack's relationship is falling apart and ive been crying"", 'im behind at work now and stressed', 'ive been crying all morning.', 'crying']","{'fatigue': 0.3808659017086029, 'mood change': 0.3647861182689667, 'hiccups': 0.257672518491745, 'bleeding': 0.25417038798332214, 'dilated pupils': 0.12351038306951523, 'anxiety': 0.11878306418657303, 'racing heart': 0.11682092398405075}"
69,today sam had a migraine and couldn’t see properly and he seemed so scared I felt bad for him and just wanted the migraine to go away,headache,"['sam had a migraine', 'he seemed so scared i felt bad for him', 'a migraine', 'sam had a migraine and couldn’t see properly', 'migraine']","{'headache': 0.5283976793289185, 'body pain': 0.3991742432117462, 'mood change': 0.30222392082214355, 'anxiety': 0.20641650259494781}"
47,After walking a bit today the muscles in my legs were hurting so much. I don’t know why I had so much pain but it was bad,body pain,"['it was bad', 'pain', 'the muscles in my legs were hurting so much.']","{'body pain': 0.8586002588272095, 'headache': 0.24186654388904572, 'mood change': 0.14959192276000977}"
59,I had a headache in the afternoon and thankfully my headaches don’t consume the entire day so Im better now,headache,"['headache in the afternoon', 'headache', 'afternoon']","{'headache': 0.5123285055160522, 'body pain': 0.3007994294166565, 'mood change': 0.19948461651802063, 'hiccups': 0.12272945046424866, 'fatigue': 0.11193621158599854}"
304,"For some reason when lily walked up the stairs earlier today she was exhausted. She was out of breath, and her heart rate was racing. She felt like that for 30 minutes and I
I didn’t know what to do","racing heart, fatigue","['she was out of breath,', 'lily walked up the stairs earlier today she was exhausted.', 'she was out of breath, and her heart rate was racing.', 'her heart rate was racing.', 'her heart rate']","{'racing heart': 0.8833070397377014, 'fatigue': 0.48247379064559937, 'hiccups': 0.19469277560710907, 'lack of sleep': 0.16022974252700806}"
91,Charlie was more tired than usual today and I got a bit worried but then in the evening he seemed cheerful again,fatigue,"['cheerful', 'he seemed cheerful again', 'charlie was more tired than usual', 'he seemed cheerful', 'charlie was more tired than usual today and i got a bit worried', 'worried']","{'mood change': 0.8922757506370544, 'anxiety': 0.37417054176330566, 'lack of sleep': 0.33317798376083374, 'fatigue': 0.32742753624916077}"
114,"I went to the emergency room for a sharp pain in my head, had a CT scan and was told by the nurse
practitioner that I have sinusitis",headache,"['a ct scan', 'sinusitis', 'ct scan', 'had a ct scan']","{'body pain': 0.3999101221561432, 'sore throat': 0.23555774986743927, 'mood change': 0.16595160961151123, 'hiccups': 0.14110973477363586, 'dilated pupils': 0.13388250768184662, 'lack of concentration': 0.12379579246044159}"
191,katie is stressed about an event they have at school tomorrow. I think she has social anxiety and its acting up,anxiety,"['social anxiety', 'katie is stressed about an event they have at school tomorrow.']","{'anxiety': 0.8302249908447266, 'mood change': 0.2731829285621643, 'lack of concentration': 0.15199671685695648}"
214,because I was nervous and sad yesterday my chest felt tight when I was trying to sleep,"mood change, body pain","['sleep', 'my chest felt tight when i was trying to sleep']","{'fatigue': 0.26427707076072693, 'body pain': 0.2603784501552582, 'lack of concentration': 0.23305575549602509, 'lack of sleep': 0.2049526870250702, 'racing heart': 0.13307751715183258}"
4,"Lately I have been feeling like I am almost about to pass out or faint in addition to episodes of the nausea and racing heart beat.
I feel so overwhelmed and anxious I can't escape the situation. It sort of feels like my blood pressure goes down & up quickly and I feel I am not in control of my body.","anxiety, racing heart","['it sort of feels like my blood pressure goes down & up quickly', 'i feel i am not in control of my body.', 'blood pressure goes down & up quickly', 'nausea and racing heart beat.', 'overwhelmed and anxious']","{'racing heart': 0.6434342265129089, 'anxiety': 0.37622693181037903, 'fatigue': 0.1619897335767746, 'body pain': 0.14004835486412048, 'congestion': 0.11802032589912415, 'mood change': 0.1178765520453453, 'poor coordination': 0.10952524840831757}"
368,"Hiccups for me are very painful, and none of the remedies work. They usually last about 30 minutes and then finally go away on
their own",hiccups,"['none of the remedies work.', 'hiccups', 'they usually last about 30 minutes and then finally go away on their own', 'hiccups for me are very painful,', 'very painful,', 'they usually last about 30 minutes']","{'hiccups': 0.5696714520454407, 'cough': 0.24828676879405975, 'body pain': 0.2121463567018509, 'dilated pupils': 0.14228270947933197, 'sore throat': 0.12595537304878235, 'poor coordination': 0.11809703707695007}"
80,I still feel diarrhea and its embarassing to have to go to the bathroom so often. My stomach hurts and I can’t eat,diarrhea,"['diarrhea', 'my stomach hurts', 'my stomach hurts and i can’t eat']","{'body pain': 0.8473856449127197, 'diarrhea': 0.7746618390083313, 'appetite change': 0.17106157541275024}"
257,she seems emotionally stressed and isnt falling asleep at night- I see her blink often,lack of sleep,"['blink', 'blink often', 'emotionally stressed and isnt falling asleep at night- i see her blink often', 'she seems emotionally stressed', 'falling asleep', 'isnt falling asleep', 'emotionally stressed']","{'mood change': 0.5695536732673645, 'dilated pupils': 0.5468917489051819, 'lack of sleep': 0.5255274176597595, 'fatigue': 0.2240615338087082, 'lack of concentration': 0.21964938938617706, 'anxiety': 0.14775243401527405}"
400,They were feeling really tired today. It was a bit worse than usual. They didn't even have enough energy to eat breakfast afterwards.,fatigue,"['they were feeling really tired today.', ""they didn't even have enough energy to eat breakfast afterwards."", ""they didn't even have enough energy to eat breakfast""]","{'fatigue': 0.49703773856163025, 'lack of sleep': 0.173864483833313, 'appetite change': 0.15033061802387238, 'mood change': 0.14659196138381958}"
170,"I've been really stressed recently and I think that’s impacting charlie - its almost like hes living my stress and he gets stressed when I get stressed. I try to be strong for him but work has been so difficult
recently its hard
",anxiety,"['stressed', 'work has been so difficult recently its hard', 'he gets stressed when i get stressed.', 'stressed recently', 'stressed recently and i think that’s impacting charlie', 'charlie']","{'mood change': 0.5088924765586853, 'fatigue': 0.3808659017086029, 'hiccups': 0.18809103965759277, 'poor coordination': 0.12200729548931122, 'anxiety': 0.11878306418657303, 'bleeding': 0.10149534046649933}"
104,She says she feels like she has a rock in her stomach and cannot use the bathroom at all,,"['she says she feels like she has a rock in her stomach', 'a rock in her stomach', 'cannot use the bathroom at all', 'she has a rock in her stomach', 'she feels like she has a rock in her stomach', 'cannot use the bathroom']","{'body pain': 0.7685577869415283, 'congestion': 0.23955655097961426, 'poor coordination': 0.2105693221092224, 'hiccups': 0.1682588756084442, 'mood change': 0.11805608123540878}"
285,"my throat feels like theres a golf ball in it, it hurts to swallow or speak at all",sore throat,"['a golf ball in it,', 'it hurts to swallow or speak', 'it hurts to swallow or speak at all', 'it hurts to swallow']","{'sore throat': 0.5258277058601379, 'body pain': 0.42547550797462463, 'lack of concentration': 0.14796774089336395}"
239,I couldn’t fall asleep for ages yesterday- I just kept tossing and turning in bed,lack of sleep,"['i just kept tossing and turning in bed', 'fall asleep', 'just kept tossing and turning in bed', 'couldn’t fall asleep for ages yesterday-', 'couldn’t fall asleep']","{'lack of sleep': 0.42103612422943115, 'fatigue': 0.25789397954940796, 'hiccups': 0.25338253378868103, 'lack of concentration': 0.23676806688308716, 'body pain': 0.11077097803354263}"
129,"I have sinus infection with dizziness, sore eyes, sore neck, fuzzy vision, and tiredness. I don’t know what can be causing this","body pain, dizziness, fatigue","['sinus infection', 'dizziness,', 'tiredness.']","{'lack of sleep': 0.44877344369888306, 'fatigue': 0.41766759753227234, 'dizziness': 0.3675992786884308, 'hiccups': 0.3596517741680145, 'sore throat': 0.3507424294948578, 'body pain': 0.17776735126972198, 'lack of concentration': 0.1123487800359726}"
254,i think erica had troubling sleeping yesterday because we let her spend too much time in front of the computer and the tv during the day,lack of sleep,"['erica had troubling sleeping yesterday', 'erica had troubling sleeping', 'sleeping']","{'lack of sleep': 0.4897679090499878, 'fatigue': 0.2529754042625427, 'lack of concentration': 0.24459907412528992, 'hiccups': 0.17170298099517822, 'dilated pupils': 0.1510043889284134}"
31,"I have been running a fever of unknown origin for three years now. Every single day it hits 100 degrees and over when I do normal things like get up, get dressed, make coffee, feed my pets, and wham! All it takes is for me to be on my feet for twenty minutes and I hit 100 degrees and over; every single day for over three years.",fever,"['fever of unknown origin', 'fever', 'unknown origin', 'i have been running a fever of unknown origin for three years now.', 'all it takes is for me to be on my feet', 'fever of unknown origin for three years now.', 'all it takes is for me to be on my feet for twenty minutes']","{'fever': 0.6277124881744385, 'poor coordination': 0.3365125060081482, 'racing heart': 0.24538499116897583, 'lack of concentration': 0.1386628895998001, 'dilated pupils': 0.13251204788684845, 'fatigue': 0.11702868342399597, 'mood change': 0.10709933936595917}"
415,"Usually it's a whole slew of symptoms but today it was mainly just fatigue that was setting in before any seizures. Although they just experienced fatigue today, the sheer number of seizures seemed to be much higher than usual. Luckily, these were all fairly smalll episodes but still it's a little concerning for it to happen so often. We think it's the new dosage for one of the prescriptions. We're not sure if having less symptoms but preventing seizures less is worth it. We'll think over what to do in the next few days before our next regularly scheduled appointment.",fatigue,"['preventing seizures less is worth it.', 'it was mainly just fatigue that was setting in before any seizures.', 'fatigue that was setting in before any seizures. although they just experienced fatigue', 'preventing seizures', 'these were all fairly smalll episodes', 'they just experienced fatigue', 'fatigue that was setting in before any seizures.', 'the sheer number of seizures seemed to be much higher than usual.', 'fatigue']","{'fatigue': 0.7956671714782715, 'dilated pupils': 0.2557659447193146, 'hiccups': 0.18946820497512817, 'lack of concentration': 0.16702771186828613, 'mood change': 0.11948654800653458, 'lack of sleep': 0.11465431749820709}"
139,I played outside this morning and had some cramps in my legs after but it wasn’t bad I think I was just thirsty,,"['it wasn’t bad i think i was just thirsty', 'cramps', 'some cramps in my legs', 'cramps in my legs', 'some cramps', 'played outside']","{'body pain': 0.8917821049690247, 'mood change': 0.2917369604110718, 'hiccups': 0.24983036518096924, 'headache': 0.1631525307893753, 'congestion': 0.155989408493042, 'lack of concentration': 0.1410263329744339, 'appetite change': 0.13969948887825012}"
443,"Today was pretty awful. Not only were they having headaches every few hours, each one was pretty intense. It's been a while since they've had such severe headaches and so often too.",headache,"['not only were they having headaches every few hours,', 'headaches', 'headaches every few hours,', ""it's been a while since they've had such severe headaches""]","{'headache': 0.7428008317947388, 'body pain': 0.38823753595352173, 'hiccups': 0.2008192390203476}"
182,"I noticed that tom was stressed, anxious and moody this morning","anxiety, mood change","['tom was stressed, anxious and moody']","{'mood change': 0.5390627384185791, 'anxiety': 0.30928313732147217}"
229,we were in the car earlier today when lily felt these stabbing pains in her chest and felt like she couldn’t breathe,body pain,"['lily felt these stabbing pains', 'stabbing pains in her chest', 'lily felt these stabbing pains in her chest', 'we were in the car earlier today', 'stabbing pains']","{'body pain': 0.4948596656322479, 'racing heart': 0.3383248746395111, 'bleeding': 0.2217760980129242, 'mood change': 0.17362485826015472, 'hiccups': 0.11679813265800476, 'poor coordination': 0.1029791310429573}"
342,there was even more blood in charlies coughs today than their was yesterday. The herbal tea and the medicines arent helping at all,"bleeding, cough","['blood in charlies coughs', 'the herbal tea and the medicines arent', 'the herbal tea and the medicines arent helping at all', 'there was even more blood in charlies coughs', 'charlies coughs']","{'bleeding': 0.5213557481765747, 'cough': 0.3551379442214966, 'poor coordination': 0.26420170068740845, 'sore throat': 0.1903686374425888, 'hiccups': 0.1805177479982376, 'lack of concentration': 0.1738506406545639, 'mood change': 0.11921380460262299}"
143,I dont know how to get rid of these stomach cramps I am so sick of having them,body pain,['stomach cramps'],{'body pain': 0.8965176343917847}
319,lily had multiple episodes of palpitations last night. She woke up many times and I woke up each time with her. We were able to put her back to sleep after each but it was a rough night,racing heart,"['palpitations', 'lily had multiple episodes of palpitations last night.', 'it was a rough night', 'we were able to put her back to sleep', 'lily']","{'racing heart': 0.727565586566925, 'lack of sleep': 0.41698721051216125, 'dilated pupils': 0.28277361392974854, 'mood change': 0.21502557396888733, 'fatigue': 0.11345826089382172, 'hiccups': 0.11227086931467056, 'body pain': 0.10891242325305939}"
413,"We're over at my sister's house for the weekend, taking some time to let the kids play with their cousins and some time for the adults to catch up. I was talking to my sis and lost track of time but realized a lot of time had passed when my kid sluggishly walked through the door asking if we could go home. I noticed they were looking pretty fatigued and worried they might have an episode soon so I let my sister know we would need some space and privacy. After my sister left the room, the seizure happened not too long after but luckily it wasn't a horrible one. The room was pretty comforting too with a lot of pillows and soft stuffed animals my kid could hold onto.",fatigue,"['pretty fatigued', 'they were looking pretty fatigued', 'an episode']","{'fatigue': 0.5912904739379883, 'mood change': 0.21287620067596436, 'lack of sleep': 0.1545046865940094}"
395,for the last three days ive noticed that lillys eyes get dilated quite often. It doesn’t last long but its happened often so now its worrying me,dilated pupils,"['lillys eyes get dilated quite often.', 'lillys eyes get dilated', 'it doesn’t last long but its happened often', 'it doesn’t last long']","{'dilated pupils': 0.8352807760238647, 'hiccups': 0.21198248863220215, 'mood change': 0.11490993946790695}"
324,lilys been getting these weird pimples on her skin recently. They’re around her upper back area,skin rash,['they’re around her upper back area'],{'body pain': 0.21297098696231842}
243,I couldn’t sleep until 4am last night and I had to wake up at 6 for school. Im exhausted,lack of sleep,"['exhausted', 'couldn’t sleep until 4am last night', 'i had to wake up at 6 for school. im exhausted']","{'lack of sleep': 0.5102927684783936, 'fatigue': 0.4752483665943146}"
423,"They had a slight fever, but I am glad I did not have to give them any medicines today. I have been giving them too many medicines this week because they were having high fever, but I think it is finally beginning to work as the temperature has reduced. These medications sometimes have side effects like feeling drowsy or tired, so I really do not like to be giving medications unless it is absolutely necessary.",fever,"['they had a slight fever,', 'fever,', 'high fever,']","{'fever': 0.783298134803772, 'racing heart': 0.21742649376392365}"
159,This morning when eric woke up he seemed rather sad and anxious,"anxiety, mood change","['he seemed rather sad and anxious', 'eric woke up he seemed rather sad and anxious']","{'mood change': 0.4035341739654541, 'anxiety': 0.40254417061805725}"
151,My leg hurt so much after the run I had cramps in my lower leg area for five minutes straight until my mum could give me electrolytes,body pain,"['my leg hurt so much after the run i had cramps', 'my mum could give me electrolytes', 'cramps']","{'body pain': 0.8085054159164429, 'headache': 0.1631525307893753, 'congestion': 0.155989408493042, 'dilated pupils': 0.14148986339569092}"
166,we went to the doctor this morning and katie seemed stressed out for hours before we left. I think she sensed we were going and really doesn’t like the doctor,anxiety,"['she sensed we were going', 'stressed out', 'katie seemed stressed out for hours', 'katie seemed stressed out for hours before we left.']","{'fatigue': 0.3448868989944458, 'mood change': 0.3352392911911011, 'lack of concentration': 0.22688424587249756, 'anxiety': 0.21293406188488007, 'dilated pupils': 0.11251121759414673}"
187,my blood pressure was high and I felt unusually stressed this morning. I think its because things between rob and I aren’t going too well,anxiety,"['stressed', 'my blood pressure was high and i felt unusually stressed', 'things between rob and i aren’t going too well', 'unusually stressed', 'rob', 'my blood pressure was high']","{'racing heart': 0.4529207646846771, 'fatigue': 0.3808659017086029, 'hiccups': 0.35869529843330383, 'poor coordination': 0.35201403498649597, 'mood change': 0.3500473201274872, 'anxiety': 0.11878306418657303}"
45,"My muscles ache, but I have fibromyalgia and osteo arthritis as well as epilepsy so it is extremely difficult to determine what is causing the pain",body pain,"['epilepsy', 'i have fibromyalgia and osteo arthritis', 'my muscles ache,']","{'body pain': 0.8946839570999146, 'poor coordination': 0.23938028514385223, 'dilated pupils': 0.17680895328521729, 'fatigue': 0.14455467462539673}"
386,when lily woke up this morning her pupils seemed dilated and she looked really confused. I think maybe she was dizzy,"dilated pupils, dizziness","['pupils seemed dilated', 'her pupils seemed dilated and she looked really confused.', 'dizzy', 'pupils seemed dilated and she looked really confused.', 'her pupils seemed dilated']","{'dilated pupils': 0.7837698459625244, 'dizziness': 0.3338378667831421, 'hiccups': 0.20009544491767883, 'poor coordination': 0.17484834790229797, 'lack of concentration': 0.143791064620018}"
427,"I am ecstatic. Today was a great day after a week of having high fever. The fever has finally subsided now, and they are totally fine. Hoping for more days like this. Fingers crossed.",fever,"['they are totally fine.', 'high fever.', 'fingers crossed.', 'the fever has finally subsided now,', 'the fever has finally subsided now, and they are totally fine.']","{'fever': 0.7696969509124756, 'mood change': 0.42581120133399963, 'poor coordination': 0.16423608362674713, 'dilated pupils': 0.12417025864124298}"
145,I felt dehydrated and started having spasms all over my body. They werent terrible but they came and went for on hour,,"['they came and went for on hour', 'they werent terrible', 'they werent terrible but they came and went for on hour', 'spasms']","{'hiccups': 0.5286960601806641, 'body pain': 0.24450179934501648, 'mood change': 0.11624594777822495, 'dilated pupils': 0.1084851622581482}"
228,before dinner today eric was complaining about these pangs in his chest - a mix of tightness and a squeezing sensation,body pain,"['pangs', 'eric was complaining about these pangs in his chest', 'eric was complaining about these pangs', 'a mix of tightness and a squeezing sensation']","{'body pain': 0.4994242787361145, 'hiccups': 0.34811168909072876, 'racing heart': 0.2795112133026123, 'congestion': 0.17824845016002655, 'mood change': 0.17306165397167206}"
367,"we just got back from holiday, tom caught some sort of bug that gave him a sore throat and made his hiccups come
 back even more aggressive","hiccups, sore throat","['sore throat', 'hiccups', 'hiccups come back even more aggressive', 'tom caught some sort of bug', 'his hiccups come back even more aggressive', 'tom caught some sort of bug that gave him a sore throat']","{'hiccups': 0.688850462436676, 'sore throat': 0.6441587805747986, 'cough': 0.24828676879405975, 'body pain': 0.24610544741153717}"
280,rihannas nose seems really congested - shes gone through so many tissues and now her throat is starting to feel sore as well,"sore throat, congestion","['her throat is starting to feel sore', 'her throat is starting to feel sore as well', 'rihannas nose seems really congested', 'rihannas nose']","{'sore throat': 0.6653021574020386, 'congestion': 0.5335044264793396, 'body pain': 0.2661566138267517, 'fever': 0.19483117759227753}"
314,I started to feel my heart rate rise again today and quickly lay down and took deep breaths to stop the palpitations,racing heart,"['deep breaths', 'my heart rate rise again today', 'heart rate rise again today and quickly lay down and took deep breaths', 'heart rate rise', 'heart rate rise again today', 'deep breaths to stop the palpitations', 'lay down']","{'racing heart': 0.8830808997154236, 'fatigue': 0.19498459994792938, 'dilated pupils': 0.17385977506637573, 'lack of concentration': 0.15631575882434845, 'mood change': 0.1333148181438446}"
224,I woke up today with a shooting pain in my chest it was scary ,body pain,"['shooting pain in my chest', 'shooting pain', 'a shooting pain in my chest']","{'racing heart': 0.5126968622207642, 'body pain': 0.45295262336730957}"
426,"So, symptoms for today, let me remember. They complained of not feeling well when I went to pick them up from school. I touched their forehead and it seemed a little warm. I measured their temperature after reaching home and they had a slight fever but everything else was fine.",fever,"['a slight fever', 'they had a slight fever', 'everything else was fine.', 'i touched their forehead', 'they complained of not feeling well when i went to pick them up from school.', 'they complained of not feeling well']","{'fever': 0.5681108832359314, 'mood change': 0.22420038282871246, 'body pain': 0.2173580825328827, 'hiccups': 0.17675797641277313, 'fatigue': 0.10673604160547256}"
183,tom was really stressed and confused as we moved house today. I gave him some anti anxiety pills and it helped calm him down,anxiety,"['anti anxiety pills', 'tom was really stressed and confused']","{'mood change': 0.4291112422943115, 'anxiety': 0.37051448225975037, 'poor coordination': 0.23753617703914642, 'lack of concentration': 0.1558060646057129}"
24,"I have had waves of nausea since yesterday. I lay down for a nap this morning
and woke up after an hour to find I had thrown up all over myself and the bed. I leaned over and threw up again. I haven't kept anything down since I woke up",vomiting,"['waves of nausea since yesterday.', 'nausea', ""haven't kept anything down since i woke up"", 'a nap', ""i haven't kept anything down since i woke up"", 'waves of nausea']","{'vomiting': 0.5494722723960876, 'body pain': 0.4562176764011383, 'lack of concentration': 0.4378660023212433, 'fatigue': 0.2383076399564743, 'lack of sleep': 0.2225574553012848, 'mood change': 0.16871848702430725, 'hiccups': 0.15758873522281647, 'dilated pupils': 0.128019317984581}"
6,"My job is stressful at the moment and I feel constantly anxious that I have to check emails night and day,
I can't be without a job, I have to provide for my 2 kids.",anxiety,"['constantly anxious that i have to check emails night and day,', 'i have to provide for my 2 kids.', ""i can't be without a job,"", 'check emails night and day,', 'my job is stressful', 'my job is stressful at the moment and i feel constantly anxious', 'emails', '2 kids.']","{'anxiety': 0.5880892276763916, 'mood change': 0.46947160363197327, 'headache': 0.22105766832828522, 'hiccups': 0.19120477139949799, 'racing heart': 0.15919169783592224, 'fatigue': 0.14927662909030914, 'lack of concentration': 0.12897969782352448, 'poor coordination': 0.10674943029880524}"
399,my fever is better today so I stopped taking anymore tylenol. Now im just doing salt water gargling to make my throat better,sore throat,"['fever', 'my fever is better today', 'my fever is better today so i stopped taking anymore tylenol.', 'now im just doing salt water gargling to make my throat better', 'salt water gargling', 'my fever']","{'fever': 0.7575660347938538, 'sore throat': 0.6213752627372742, 'racing heart': 0.3626629412174225, 'mood change': 0.13068240880966187, 'congestion': 0.12585648894309998, 'lack of concentration': 0.10848154127597809}"
231,eric had a fever but no cough or other symptoms,fever,"['fever', 'a fever', 'eric had a fever', 'eric had a fever but no cough or other symptoms', 'no cough or other symptoms', 'no']","{'fever': 0.8550299406051636, 'racing heart': 0.3240244686603546, 'cough': 0.3207208812236786, 'mood change': 0.19581390917301178, 'hiccups': 0.12818877398967743, 'lack of concentration': 0.10114599019289017}"
